IndustrySector,IndustrySystemType,BusinessPartner,IsStandardIndustry,IndustryKeyDescription
ry-3333660,3660,ry-3333660,0,IndustryKeyDescription-3333660
ry-3333661,3661,ry-3333661,1,IndustryKeyDescription-3333661
ry-3333662,3662,ry-3333662,2,IndustryKeyDescription-3333662
ry-3333663,3663,ry-3333663,3,IndustryKeyDescription-3333663
ry-3333664,3664,ry-3333664,4,IndustryKeyDescription-3333664
ry-3333665,3665,ry-3333665,5,IndustryKeyDescription-3333665
ry-3333666,3666,ry-3333666,6,IndustryKeyDescription-3333666
ry-3333667,3667,ry-3333667,7,IndustryKeyDescription-3333667
ry-3333668,3668,ry-3333668,8,IndustryKeyDescription-3333668
ry-3333669,3669,ry-3333669,9,IndustryKeyDescription-3333669