BusinessPartner,BPAliasPositionNumber,BusinessPartnerAliasName
s-23299088,088,BusinessPartnerAliasName-23299088
s-23299089,089,BusinessPartnerAliasName-23299089
s-23299090,090,BusinessPartnerAliasName-23299090
s-23299091,091,BusinessPartnerAliasName-23299091
s-23299092,092,BusinessPartnerAliasName-23299092
s-23299093,093,BusinessPartnerAliasName-23299093
s-23299094,094,BusinessPartnerAliasName-23299094
s-23299095,095,BusinessPartnerAliasName-23299095
s-23299096,096,BusinessPartnerAliasName-23299096
s-23299097,097,BusinessPartnerAliasName-23299097